127.0.0.1 - - [30/May/2022:14:07:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2022:14:07:03 +0900] "GET /Lecture-Web/Jquery/exam01.html HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [30/May/2022:14:07:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2022:14:07:32 +0900] "GET /Lecture-Web/Jquery/exam01.html HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [30/May/2022:14:08:20 +0900] "GET /Lecture-Web/Jquery/exam01.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [30/May/2022:14:08:27 +0900] "GET /Lecture-Web/Jquery/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:14:13:41 +0900] "GET /Lecture-Web/Jquery/exam01.html HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [30/May/2022:14:16:58 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [30/May/2022:14:18:22 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [30/May/2022:14:18:30 +0900] "GET /Lecture-Web/Jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [30/May/2022:14:20:23 +0900] "GET /Lecture-Web/Jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:14:22:47 +0900] "GET /Lecture-Web/Jquery/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:14:24:50 +0900] "GET /Lecture-Web/Jquery/exam01.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [30/May/2022:14:24:50 +0900] "GET /Lecture-Web/Jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:14:25:50 +0900] "GET /Lecture-Web/Jquery/exam01.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [30/May/2022:14:31:29 +0900] "GET /Lecture-Web/Jquery/exam01.html HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/May/2022:14:31:29 +0900] "GET /Lecture-Web/Jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:01:38 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [30/May/2022:15:02:21 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [30/May/2022:15:02:21 +0900] "GET /Lecture-Web/Jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:04:34 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [30/May/2022:15:11:09 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:11:09 +0900] "GET /Lecture-Web/Jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:11:55 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [30/May/2022:15:12:07 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:12:21 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:12:22 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:12:22 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:12:23 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:12:48 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:13:05 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [30/May/2022:15:13:06 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:13:13 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
